State,Fac Ex No,Address Main Entrance,Chicago Preservation Code,Property Category,Estimated Net Assignable Area,Year Acquired,Property Graphic,Building Length,Year Leased,Year Removed,Alternate Address,Estimated Total Net Area,Architect,Property Picture,Ext (IFMA) Gross Area,Comments,City Code,Legal Property Description,Sustainability - Certifications,Primary Assigned,Caretaker,Drawing Type,Removal Status,CSM,Building Height,National Register,Site Code,Fac Ex Abbr,Chicago Landmark,Major Renovation,Estimated Net Non-Assignable Area,CL Justification,Height Comments,Occupancy Classification,FICM Gross Area,City,Property Status,Alternate Property Code,Estimated Temporary Occupancy,Property Code,Physical Property Description,NR Justification,Secondary Assigned,Site Gross,Building Use,Property Name,Responsible Unit,PIN Number,Estimated Permanent Occupancy,Year Constructed,Replaced By,url,Building Width
IL,,5712 South Maryland Avenue,Unknown,Building,0.00,,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A38,,,Unknown,0.00,Residential,5712 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=38,0.00
IL,,5716 South Maryland Avenue,Unknown,Building,0.00,,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A39,,,Unknown,0.00,Residential,5716 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=39,0.00
IL,,5720-26 South Maryland Avenue,Unknown,Building,0.00,1966,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A40,,,Unknown,0.00,Residential,5720-26 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=40,0.00
IL,,5734 South Maryland Avenue,Unknown,Building,0.00,,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A41,,,Unknown,0.00,Residential,5734 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=41,0.00
IL,,5746 South Maryland Avenue,Unknown,Building,0.00,,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A42,,,Unknown,0.00,Residential,5746 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=42,0.00
IL,,5750 South Maryland Avenue,Unknown,Building,0.00,1964,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A43,,,Unknown,0.00,Residential,5750 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=43,0.00
IL,,816-24 East 58th Street,Unknown,Building,0.00,1962,,0.00,,1996,5756-5758 South Maryland Avenue,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A44,,,Unknown,0.00,Residential,816-24 East 58TH Street,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=44,0.00
IL,,804-12 East 58th Street,Unknown,Building,0.00,,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A45,,,Unknown,0.00,Residential,804-12 East 58TH Street,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=45,0.00
IL,,5737-39 South Drexel Avenue,Unknown,Building,0.00,1898,,0.00,,2001,,0.00,,,0.00,,,,,BSD,Inactive,CAD,Demolished,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A46,,,Unknown,0.00,ACADOffice,5737-39 Drexel,Inactive,,0,1895,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=46,0.00
IL,,5731 South Maryland Avenue,Unknown,Building,0.00,,,0.00,,2001,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A47,,,Unknown,0.00,Residential,5731 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=47,0.00
IL,,5729 South Maryland Avenue,Unknown,Building,0.00,1998,,0.00,,2001,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A49,,,Unknown,0.00,Residential,5729 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=48,0.00
IL,,920 East 58th Street,None,Building,"2,524.00",1994,A50_PHOTO.JPG,75.00,,,,"6,795.00",Holabird and Root,,"8,134.27",,,,,BSD,University Facilities Services-North Shop,CAD,NA,Yes,0.00,Unknown,Campus,MRS,No,,"4,271.00",,underground building,E100,"8,134.27",CHICAGO,Owned,,4,A50,,,Unknown,0.00,Laboratory,MRS Building (CLSC),Chicago Biology and  Medicine,20-14-115-014,1,1994,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=49,55.00
IL,,5727 South Maryland Avenue,Unknown,Building,0.00,1998,,0.00,,2001,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A51,,,Unknown,0.00,Residential,5727 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=50,0.00
IL,,5701 South Maryland Avenue,Unknown,Garage/Shed,0.00,,,0.00,,2001,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A52,,,Unknown,0.00,Residential,5701 Maryland Garage,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=51,0.00
IL,,5710 South Drexel Avenue,Unknown,Garage/Shed,0.00,1956,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A53,,,Unknown,0.00,Residential,5710 Drexel Garage,Inactive,,0,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=52,0.00
IL,,5716 South Drexel Avenue,Orange,Garage/Shed,0.00,1950,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,No,Hyde Park,,No,,0.00,,,,0.00,CHICAGO,Demolished,,0,A54,,,Unknown,0.00,Residential,5716 Drexel Garage,Inactive,,0,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=53,0.00
